DBN,DISTRICT,SCHOOL,SCHOOL LEVEL*,2010-2011 OVERALL SCORE,PRINCIPAL,2010-2011 OVERALL GRADE,2010-2011 PROGRESS CATEGORY SCORE,PROGRESS REPORT TYPE,2010-2011 PROGRESS GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,PEER INDEX*,2010-2011 PERFORMANCE GRADE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
02M130,2,P.S. 130 Hernando De Soto,Elementary,69.8,Lily Woo,A ,37.7,EMS,A ,14.1,27.53,A ,12,A ,6,A
16K021,16,P.S. 021 Crispus Attucks,Elementary,69.7,Harold Anderson,A ,41.9,EMS,A ,13,54.39,B ,8.8,A ,6,A
23K323,23,P.S./I.S. 323,K-8,69.5,Linda Harris,A ,45.5,EMS,A ,6.4,58.97,C ,10.5,A ,7,B
25Q021,25,P.S. 021 Edward Hart,Elementary,69.5,Debra Buszko,A ,39.5,EMS,A ,14.2,35.03,A ,6.8,B ,9,B
30Q150,30,P.S. 150 Queens,Elementary,69.2,Carmen Parache,A ,40.9,EMS,A ,14.1,41.43,A ,6.7,B ,7.5,B
26Q186,26,P.S. 186 Castlewood,Elementary,69.1,Dolores Troy-Quinn,A ,40.4,EMS,A ,14.1,24.1,A ,11.1,A ,3.5,B
26Q203,26,P.S. 203 Oakland Gardens,Elementary,69.1,Carole Nussbaum,A ,35.6,EMS,A ,16.3,16.43,A ,11.2,A ,6,A
29Q034,29,P.S. 034 John Harvard,Elementary,68.8,Pauline Shakespeare,A ,40,EMS,A ,14.7,56.24,A ,6.6,B ,7.5,B
21K121,21,P.S. 121 Nelson A. Rockefeller,K-8,68.7,Lillian Catalano,A ,40.2,EMS,A ,12.3,44.85,B ,11.2,A ,5,A
07X030,7,P.S. 030 Wilton,Elementary,68.4,,A ,47.4,EMS,A ,6.5,66.7,C ,8,B ,6.5,A
06M153,6,P.S. 153 Adam Clayton Powell,Elementary,68.2,Karen Bailey,A ,40.1,EMS,A ,12.4,63.7,B ,9.6,A ,6,A
16K262,16,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,Elementary,68.1,Joeletha Ferguson,A ,38.8,EMS,A ,16.4,61.91,A ,6.8,B ,6,A
22K255,22,P.S. 255 Barbara Reing School,Elementary,67.9,Linda L. Singer,A ,41.8,EMS,A ,11.3,32.34,B ,9.8,A ,5,A
21K215,21,P.S. 215 Morris H. Weiss,Elementary,67.8,Antonella Bove,A ,42.8,EMS,A ,10.4,30.09,B ,6.6,B ,8,C
02M126,2,P.S. 126 Jacob August Riis,K-8,67.8,Jacqueline Getz,A ,41.1,EMS,A ,13.7,38.71,B ,6,C ,7,A
31R019,31,P.S. 019 The Curtis School,Elementary,67.6,Mary Petrone,A ,40.7,EMS,A ,10.7,53.45,B ,8.2,B ,8,B
